,0,1,2
0,rivers away ,Ben Platt,River
1,rivers away ,Sam Smith,Pray
2,rivers away ,Mariah Carey,Close My Eyes
3,rivers away ,Kesha,Raising Hell (feat. Big Freedia)
4,rivers away ,Bleachers,Don't Take The Money - MTV Unplugged
5,rivers away ,Ben Platt,Vienna
6,rivers away ,Sufjan Stevens,Chicago
7,rivers away ,Maggie Rogers,Light On
8,rivers away ,Empress Of,When I'm With Him - Perfume Genius Cover
9,rivers away ,Grace VanderWaal,Clearly
10,rivers away ,Grace VanderWaal,Moonlight
11,rivers away ,Miguel Llobet Solés,Romanza
12,rivers away ,Lewis Capaldi,Someone You Loved
13,rivers away ,Soundtrack/Cast Album,Suddenly Seymour
14,rivers away ,Sophia Anne Caruso,Dead Mom
15,rivers away ,Mery Granados,No Me Gustan los Grises
16,rivers away ,Hannah Diamond,Invisible
17,rivers away ,Taylor Swift,Enchanted
18,rivers away ,HAIM,Now I'm In It
19,rivers away ,Harry Styles,Two Ghosts
20,rivers away ,Mariah Carey,When Christmas Comes
21,rivers away ,Ryn Weaver,Free
22,rivers away ,Frédéric Chopin,"12 Études, Op. 25: Étude No. 9 in G-Flat Major"
23,rivers away ,Britney Spears,Why Should I Be Sad
24,rivers away ,SZA,Julia
25,rivers away ,Johann Sebastian Bach,"Partita in B-Flat Major, BWV 825: VI. Gigue"
26,rivers away ,Billie Eilish,everything i wanted
27,rivers away ,Camila Cabello,Living Proof
28,rivers away ,Taylor Swift,"Beautiful Ghosts - From The Motion Picture ""Cats"""
29,rivers away ,Kacey Musgraves,All Is Found - Kacey Musgraves Version
30,rivers away ,Harry Styles,Watermelon Sugar
31,rivers away ,Kesha,My Own Dance
32,rivers away ,Lil Playy,Birthday Dress
33,rivers away ,HAIM,Hallelujah
34,rivers away ,A Great Big World,Fall On Me
35,rivers away ,Lewis Capaldi,Before You Go
36,rivers away ,Maggie Rogers,Love You For A Long Time
37,we cant find heaven,Rachel Platten,Stand By You
38,we cant find heaven,Troye Sivan,HEAVEN
39,fresh palm leaf ,YEBBA,Evergreen
40,fresh palm leaf ,MUNA,Number One Fan
41,fresh palm leaf ,Alanis Morissette,Head over Feet - Live / Unplugged
42,fresh palm leaf ,Lana Del Rey,The Other Woman
43,fresh palm leaf ,Natalie Imbruglia,Torn - Acoustic MTV Unplugged
44,fresh palm leaf ,Clairo,Sofia
45,fresh palm leaf ,Sinéad O'Connor,Nothing Compares 2 U
46,fresh palm leaf ,Clairo,Closer To You
47,fresh palm leaf ,Death Cab for Cutie,I Will Follow You Into The Dark
48,fresh palm leaf ,Bruno Major,Bad Religion - Live
49,fresh palm leaf ,Billie Eilish,idontwannabeyouanymore
50,fresh palm leaf ,Edward MacDowell,"Fireside Tales, Op. 61: IV. Of Salamanders"
51,fresh palm leaf ,Katy Perry,Small Talk
52,fresh palm leaf ,YEBBA,Where Do You Go
53,fresh palm leaf ,Lana Del Rey,Season Of The Witch
54,fresh palm leaf ,Jaden,Summertime In Paris
55,fresh palm leaf ,Steve Reich,Electric Counterpoint: III. Fast
56,fresh palm leaf ,Joel Adams,Coffee
57,fresh palm leaf ,Lana Del Rey,Looking For America
58,fresh palm leaf ,Chloe x Halle,Happy Without Me
59,fresh palm leaf ,Nao,Orbit
60,fresh palm leaf ,The Sugarcubes,Birthday
61,fresh palm leaf ,Kali Uchis,Loner
62,fresh palm leaf ,Taylor Swift,Lover
63,fresh palm leaf ,Miley Cyrus,Slide Away
64,fresh palm leaf ,Charli XCX,Cross You Out (feat. Sky Ferreira)
